canrdr01_lite	81718	[019]	2603730.747376	1	cpu/event=0xD0,umask=0x82/u	ffffffff8186d5d0	page_fault	([kernel.kallsyms])
canrdr01_lite	81718	[019]	2603730.747386	1	cpu/event=0xD0,umask=0x82/u	7f64cb27ca4f	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747393	3	cpu/event=0xD0,umask=0x82/u	7f64cb27cc96	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747400	8	cpu/event=0xD0,umask=0x82/u	7f64cb27ca53	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747426	21	cpu/event=0xD0,umask=0x82/u	7f64cb27cacb	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747458	29	cpu/event=0xD0,umask=0x82/u	7f64cb286a80	_dl_setup_hash	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747473	37	cpu/event=0xD0,umask=0x82/u	7f64cb2946c6	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747492	65	cpu/event=0xD0,umask=0x82/u	7f64cb294389	init_cpu_features.constprop.0	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747509	99	cpu/event=0xD0,umask=0x82/u	7f64cb298ed0	memcpy	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747540	160	cpu/event=0xD0,umask=0x82/u	7f64cb286bf5	_dl_new_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747571	205	cpu/event=0xD0,umask=0x82/u	7f64cb28a667	_dl_important_hwcaps	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747607	261	cpu/event=0xD0,umask=0x82/u	7f64cb296b20	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747719	321	cpu/event=0xD0,umask=0x82/u	7f64cb2963ff	mmap64	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747799	318	cpu/event=0xD0,umask=0x82/u	7f64cb298d74	mempcpy	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747866	328	cpu/event=0xD0,umask=0x82/u	7f64cb283a2c	_dl_map_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747895	349	cpu/event=0xD0,umask=0x82/u	7f64cb296aca	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.747921	455	cpu/event=0xD0,umask=0x82/u	7f64cb28d344	_dl_check_all_versions	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748017	552	cpu/event=0xD0,umask=0x82/u	7f64cb287633	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748044	555	cpu/event=0xD0,umask=0x82/u	7f64cb287630	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748069	744	cpu/event=0xD0,umask=0x82/u	7f64cb285a20	_dl_lookup_symbol_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748097	1019	cpu/event=0xD0,umask=0x82/u	7f64cb287706	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748113	1350	cpu/event=0xD0,umask=0x82/u	7f64cb285a20	_dl_lookup_symbol_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748142	2207	cpu/event=0xD0,umask=0x82/u	7f64cb2855b4	do_lookup_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748174	2898	cpu/event=0xD0,umask=0x82/u	7f64cb2878dc	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748370	3667	cpu/event=0xD0,umask=0x82/u	7f64cb284d33	check_match	(/lib/x86_64-linux-gnu/ld-2.23.so)
canrdr01_lite	81718	[019]	2603730.748539	3444	cpu/event=0xD0,umask=0x82/u	400f41	t_run_test	(/home/koga/autobench_perf/src/autobench/canrdr01_lite)
