pntrch01_lite	84302	[027]	2604140.657956	1050	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.658122	992	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.658295	944	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.658447	895	cpu/event=0xD0,umask=0x82/u	400d75	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.658601	858	cpu/event=0xD0,umask=0x82/u	40091e	GetInputValues	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.658746	822	cpu/event=0xD0,umask=0x82/u	400e50	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.658872	791	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659014	772	cpu/event=0xD0,umask=0x82/u	400ec9	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659146	744	cpu/event=0xD0,umask=0x82/u	400b0e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659264	723	cpu/event=0xD0,umask=0x82/u	400c2d	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659390	710	cpu/event=0xD0,umask=0x82/u	400ad0	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659514	693	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659616	678	cpu/event=0xD0,umask=0x82/u	400a8a	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659736	677	cpu/event=0xD0,umask=0x82/u	400a8a	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659860	664	cpu/event=0xD0,umask=0x82/u	400925	GetInputValues	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.659969	649	cpu/event=0xD0,umask=0x82/u	400aff	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660074	644	cpu/event=0xD0,umask=0x82/u	400910	GetInputValues	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660189	641	cpu/event=0xD0,umask=0x82/u	40092b	GetInputValues	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660298	631	cpu/event=0xD0,umask=0x82/u	401011	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660395	626	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660502	629	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660615	625	cpu/event=0xD0,umask=0x82/u	400b0e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660722	617	cpu/event=0xD0,umask=0x82/u	400d84	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660815	613	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.660922	620	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661040	616	cpu/event=0xD0,umask=0x82/u	401101	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661143	606	cpu/event=0xD0,umask=0x82/u	400c14	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661234	605	cpu/event=0xD0,umask=0x82/u	400c39	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661343	613	cpu/event=0xD0,umask=0x82/u	400c3c	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661458	608	cpu/event=0xD0,umask=0x82/u	400d49	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661559	599	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661649	599	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661771	606	cpu/event=0xD0,umask=0x82/u	400c4a	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661881	594	cpu/event=0xD0,umask=0x82/u	400d1d	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.661985	588	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662073	587	cpu/event=0xD0,umask=0x82/u	401101	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662177	597	cpu/event=0xD0,umask=0x82/u	400932	GetInputValues	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662288	595	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662394	589	cpu/event=0xD0,umask=0x82/u	400e65	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662481	587	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662584	597	cpu/event=0xD0,umask=0x82/u	400aea	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662702	596	cpu/event=0xD0,umask=0x82/u	401101	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662801	586	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662891	587	cpu/event=0xD0,umask=0x82/u	400ed6	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.662998	596	cpu/event=0xD0,umask=0x82/u	400d2f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663110	592	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663209	586	cpu/event=0xD0,umask=0x82/u	400b0e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663303	587	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663405	592	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663517	592	cpu/event=0xD0,umask=0x82/u	400d92	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663617	586	cpu/event=0xD0,umask=0x82/u	400c39	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663712	586	cpu/event=0xD0,umask=0x82/u	400ad3	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663818	590	cpu/event=0xD0,umask=0x82/u	400fad	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.663925	587	cpu/event=0xD0,umask=0x82/u	400e8d	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664030	583	cpu/event=0xD0,umask=0x82/u	400c57	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664125	581	cpu/event=0xD0,umask=0x82/u	400ac6	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664227	585	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664334	585	cpu/event=0xD0,umask=0x82/u	400d81	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664440	581	cpu/event=0xD0,umask=0x82/u	400b0e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664535	578	cpu/event=0xD0,umask=0x82/u	401022	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664630	583	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664741	587	cpu/event=0xD0,umask=0x82/u	400b0e	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664850	581	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.664945	577	cpu/event=0xD0,umask=0x82/u	400e8d	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665044	581	cpu/event=0xD0,umask=0x82/u	400bd8	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665150	582	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665257	579	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665353	576	cpu/event=0xD0,umask=0x82/u	400bf2	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665449	579	cpu/event=0xD0,umask=0x82/u	400fe2	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665561	582	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665673	575	cpu/event=0xD0,umask=0x82/u	400b05	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665782	568	cpu/event=0xD0,umask=0x82/u	400ee7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665873	563	cpu/event=0xD0,umask=0x82/u	400b19	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.665978	570	cpu/event=0xD0,umask=0x82/u	400d9f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.666091	568	cpu/event=0xD0,umask=0x82/u	401108	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.666189	561	cpu/event=0xD0,umask=0x82/u	400da7	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
pntrch01_lite	84302	[027]	2604140.666282	563	cpu/event=0xD0,umask=0x82/u	40102f	t_run_test	(/home/koga/autobench_perf/src/autobench/pntrch01_lite)
