            perf 51595 [024] 2604252.216072:        379 cpu/event=0xD0,umask=0x81/u:            4161d4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216077:          4 cpu/event=0xC5,umask=0x00/u:      7f012d750497 __GI___libc_write (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 51595 [024] 2604252.216092:       2867 cpu/event=0xC0,umask=0x00/u:            4161c4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216097:         43 cpu/event=0xD0,umask=0x82/u:            46b781 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216101:          9 cpu/event=0xC5,umask=0x00/u:            4160cf cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216107:          1 cpu/event=0xC0,umask=0x00/u:            469d19 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216112:          1 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216114:         49 cpu/event=0xD0,umask=0x82/u:            46b784 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216115:          4 cpu/event=0xC0,umask=0x00/u:            469cf5 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216117:         21 cpu/event=0xC0,umask=0x00/u:      7f8df2d68005 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216123:          1 cpu/event=0x3C,umask=0x00/u:      7f8df2d68007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216126:          1 cpu/event=0x3C,umask=0x00/u:      7f8df2d68007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216129:          6 cpu/event=0x3C,umask=0x00/u:      7f8df2d68007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 51595 [024] 2604252.216130:      12624 cpu/event=0x3C,umask=0x00/u:            46b784 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216132:         32 cpu/event=0x3C,umask=0x00/u:      7f8df2d68007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216135:        170 cpu/event=0x3C,umask=0x00/u:      7f8df2d68007 __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 51595 [024] 2604252.216136:         79 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84762 [028] 2604252.216137:        854 cpu/event=0x3C,umask=0x00/u:      7f8df2d6800f __GI___ioctl (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216140:        129 cpu/event=0xC0,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216143:       4483 cpu/event=0x3C,umask=0x00/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216149:          1 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216151:        460 cpu/event=0xD0,umask=0x81/u:            4c6d3c writen (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216152:          1 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216155:          6 cpu/event=0xD0,umask=0x81/u:            469cad perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216155:         13 cpu/event=0xC5,umask=0x00/u:      7f012d750497 __GI___libc_write (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84762 [028] 2604252.216158:         31 cpu/event=0xD0,umask=0x81/u:            469d10 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216167:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216170:        164 cpu/event=0xD0,umask=0x81/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216171:        183 cpu/event=0xC0,umask=0x00/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216171:        115 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84762 [028] 2604252.216174:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 51595 [024] 2604252.216209:        141 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84762 [028] 2604252.216223:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 51595 [024] 2604252.216228:        476 cpu/event=0xD0,umask=0x81/u:            46b78b perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216238:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 51595 [024] 2604252.216241:         15 cpu/event=0xC5,umask=0x00/u:            4161d4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216245:      12888 cpu/event=0x3C,umask=0x00/u:            46b78b perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216264:          1 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 51595 [024] 2604252.216264:       3088 cpu/event=0xC0,umask=0x00/u:            46b784 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 51595 [024] 2604252.216269:        171 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84762 [028] 2604252.216277:      13466 cpu/event=0x3C,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216278:        236 cpu/event=0xC0,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216281:          1 cpu/event=0xC5,umask=0x00/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
