sprk01_lite	85268	[005]	2604293.433523	1	cpu/event=0xD0,umask=0x82/u	ffffffff8186d5d0	page_fault	([kernel.kallsyms])
sprk01_lite	85268	[005]	2604293.433533	1	cpu/event=0xD0,umask=0x82/u	7f038dc2fa4f	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433538	3	cpu/event=0xD0,umask=0x82/u	7f038dc2fa65	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433556	10	cpu/event=0xD0,umask=0x82/u	7f038dc2fa53	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433561	16	cpu/event=0xD0,umask=0x82/u	7f038dc2fa65	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433584	50	cpu/event=0xD0,umask=0x82/u	7f038dc2fd99	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433602	72	cpu/event=0xD0,umask=0x82/u	7f038dc476c6	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433634	111	cpu/event=0xD0,umask=0x82/u	7f038dc4af6a	strlen	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433660	141	cpu/event=0xD0,umask=0x82/u	7f038dc47e80	calloc	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433682	192	cpu/event=0xD0,umask=0x82/u	7f038dc3d21e	_dl_important_hwcaps	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433716	279	cpu/event=0xD0,umask=0x82/u	7f038dc2ec80	_dl_initial_error_catch_tsd	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433793	348	cpu/event=0xD0,umask=0x82/u	7f038dc34681	_dl_map_object_from_fd	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433864	361	cpu/event=0xD0,umask=0x82/u	7f038dc34550	_dl_map_object_from_fd	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433933	380	cpu/event=0xD0,umask=0x82/u	7f038dc36ac3	_dl_map_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
sprk01_lite	85268	[005]	2604293.433962	402	cpu/event=0xD0,umask=0x82/u	7f038dc4aec4	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
